timestamp,dem_major,dem_semester,dem_gpa,dem_residence,hap_general_satisfaction,hap_school_energy,hap_meaningful_life,hap_loyalty_choice,aca_curriculum_fit,aca_deadline_pressure,aca_teaching_quality,aca_lms_stability,env_facilities,env_utilities,env_dynamic_culture,soc_friendship_support,soc_activity_integration,soc_family_support,fin_tuition_value,fin_living_cost_worry,fin_job_prospects,wish
2026-01-20 10:01:33,Ngành Công Nghệ Thông Tin,5,8.5,Ở với gia đình,4,3,4,4,4,3,3,2,2,3,4,5,3,4,3,2,3,
2026-01-20 10:14:55,Thiết kế đồ họa,5,8.5,KTX,4,2,2,1,3,3,4,2,4,3,4,3,2,4,3,3,1,"trường bớt drama lại. ngoại trừ việc dạy kiến thức thì muốn trường dạy luôn cách làm người. Một con sâu làm rầu nồi canh, một con sâu có thể ngầm phá hủy cmn một tương lai của một người.  Và hiệu ứng đám đông ở trường tôi thấy kha khá, một con chó sủa thì những con chó khác sẽ hùa theo sủa mà không biết có chuyện gì, thật là..."
2026-01-20 11:41:38,Ngành Công Nghệ Thông Tin,5,7.5,Ở trọ,3,4,3,3,3,2,4,3,2,3,3,4,3,4,3,1,3,
2026-01-20 11:42:55,Khác,5,8.5,Ở với gia đình,4,4,5,5,5,2,3,3,5,3,4,5,2,5,2,2,3,Trường siết chặt hơn về đánh giá năng lực của sinh viên từ đó cho điểm phù hợp hơn
2026-01-20 12:37:45,Ngành Công Nghệ Thông Tin,5,9.5,Ở với gia đình,5,5,4,4,3,2,4,2,4,4,4,4,3,5,4,3,4,Có nhiều cuộc thi hơn cho ngành cntt nói chung và ngành xldl nói riêng. Để tạo cơ hội cho sinh viên được thử sức với dự án thực tế.
2026-01-20 01:29:37,Ngành Công Nghệ Thông Tin,5,9.5,Ở trọ,1,2,5,5,4,3,5,1,2,2,5,5,5,5,1,1,1,
2026-01-20 02:58:32,Quản Trị Kinh Doanh & Marketing,5,8.5,Ở với gia đình,5,3,4,4,4,3,3,2,4,3,4,4,4,4,2,4,3,hem bit
2026-01-20 03:34:19,Thiết kế đồ họa,5,4.5,Ở trọ,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,1,3,ước gì học phí ít hơn
2026-01-20 08:52:20,Ngành Công Nghệ Thông Tin,8,7.5,Ở với gia đình,4,4,3,3,4,3,4,3,5,3,4,4,4,3,3,3,3,"Việc xếp lịch học có chút bất tiện khi thường xuyên bị nghẽ giờ cao điểm, khiến sinh viên không chọn được giờ học như ý nhất và kèm theo đó khi sinh viên nhớ nhằm ngày đổi lịch học thì qua hôm sau đã không thể đổi nữa vì lớp đã đạt giới hạn tối thiểu. Em mong trường tìm cách khắc phục, xin cảm ơn"
2026-01-21 10:58:54,Ngành Công Nghệ Thông Tin,5,8.5,Ở trọ,4,4,5,2,4,4,4,2,4,4,5,5,4,5,5,3,4,"Nếu điều ước có thể thực hóa, thì thật sự rất mong mỗi người trong cộng đồng sinh viên đều ăn ngon, vui cười, ước cho mỗi một người có mục tiêu rõ ràng, để có cơ hội tìm một tần số phù hợp để cùng tiến và tìm thầy niềm vui cuộc sống mỗi ngày, không bị sa đọa stress vì mất phương hướng. Hạnh phúc không phải cơ bản vật chất mà còn do chính bản thân có sự lựa chọn không hối hận, đó là sự kiện tuyệt vời nhất trong đời mỗi người vì có tính tự quyết."
